Time/min,K-with epifluidics,K-without epifluidics,Time/min,Glu-with epifluidics,Glu-without epifluidics
11.6,4.51162,6.30007,11.6,95.36103,97.09
11.61667,4.51266,6.29669,11.61667,95.35982,97.06
11.63333,4.51371,6.29333,11.63333,95.35859,97.11
11.65,4.51476,6.28998,11.65,95.35735,97.09
11.66667,4.51582,6.28665,11.66667,95.3561,97.11
11.68333,4.51688,6.28332,11.68333,95.35484,97.09
11.7,4.51795,6.28002,11.7,95.35356,97.09
11.71667,4.51901,6.27672,11.71667,95.35227,97.09
11.73333,4.52009,6.27344,11.73333,95.35097,97.11
11.75,4.52117,6.27017,11.75,95.34965,97.01
11.76667,4.52225,6.26692,11.76667,95.34833,97.07
11.78333,4.52334,6.26368,11.78333,95.34699,97.34
11.8,4.52443,6.26045,11.8,95.34563,97.32
11.81667,4.52553,6.25724,11.81667,95.34427,97.3
11.83333,4.52663,6.25404,11.83333,95.34289,97.29
11.85,4.52773,6.25085,11.85,95.3415,97.3
11.86667,4.52885,6.24768,11.86667,95.3401,97.27
11.88333,4.52996,6.24452,11.88333,95.33868,97.25
11.9,4.53108,6.24137,11.9,95.33725,97.27
11.91667,4.53221,6.23824,11.91667,95.33582,97.2
11.93333,4.53333,6.23512,11.93333,95.33437,97.19
11.95,4.53447,6.23201,11.95,95.3329,97.21
11.96667,4.5356,6.22892,11.96667,95.33143,97.24
11.98333,4.53675,6.22584,11.98333,95.32994,97.18
12,4.53789,6.22278,12,95.32845,97.15
12.01667,4.53905,6.21973,12.01667,95.32694,97.24
12.03333,4.5402,6.21669,12.03333,95.32541,97.21
12.05,4.54136,6.21366,12.05,95.32388,97.23
12.06667,4.54252,6.21065,12.06667,95.32234,97.19
12.08333,4.54369,6.20765,12.08333,95.32078,97.15
12.1,4.54487,6.20467,12.1,95.31921,97.15
12.11667,4.54605,6.2017,12.11667,95.31763,97.12
12.13333,4.54724,6.19874,12.13333,95.31603,97.12
12.15,4.54842,6.1958,12.15,95.31443,97.06
12.16667,4.54962,6.19287,12.16667,95.31281,97.07
12.18333,4.55081,6.18995,12.18333,95.31118,97.16
12.2,4.55201,6.18705,12.2,95.30954,97.18
12.21667,4.55322,6.18416,12.21667,95.30788,97.15
12.23333,4.55443,6.18128,12.23333,95.30622,97.14
12.25,4.55564,6.17842,12.25,95.30454,97.15
12.26667,4.55686,6.17557,12.26667,95.30285,97.15
12.28333,4.55809,6.17273,12.28333,95.30115,97.15
12.3,4.55932,6.16991,12.3,95.29943,97.07
12.31667,4.56055,6.1671,12.31667,95.29771,97.12
12.33333,4.56179,6.1643,12.33333,95.29597,97.1
12.35,4.56303,6.16152,12.35,95.29422,97.11
12.36667,4.56428,6.15875,12.36667,95.29245,97.07
12.38333,4.56553,6.156,12.38333,95.29068,97.05
12.4,4.56679,6.15325,12.4,95.28889,97.02
12.41667,4.56805,6.15053,12.41667,95.28709,97.05
12.43333,4.56931,6.14781,12.43333,95.28528,96.95
12.45,4.57058,6.14511,12.45,95.28346,96.88
12.46667,4.57185,6.14242,12.46667,95.28162,96.93
12.48333,4.57314,6.13975,12.48333,95.27977,96.9
12.5,4.57442,6.13709,12.5,95.27791,96.85
12.51667,4.5757,6.13444,12.51667,95.27604,96.84
12.53333,4.577,6.1398,12.53333,95.27415,96.81
12.55,4.57829,6.1435,12.55,95.27225,96.85
12.56667,4.5796,6.14563,12.56667,95.27034,96.77
12.58333,4.58091,6.14623,12.58333,95.26842,96.77
12.6,4.58221,6.14539,12.6,95.26649,96.74
12.61667,4.58353,6.14317,12.61667,95.26454,96.8
12.63333,4.58485,6.13964,12.63333,95.26258,96.76
12.65,4.58618,6.13487,12.65,95.26061,96.73
12.66667,4.58751,6.12892,12.66667,95.25862,96.68
12.68333,4.58884,6.12186,12.68333,95.25662,96.65
12.7,4.59017,6.11376,12.7,95.25462,96.68
12.71667,4.59152,6.10469,12.71667,95.25259,96.65
12.73333,4.59287,6.09471,12.73333,95.25056,96.65
12.75,4.59422,6.0839,12.75,95.24851,96.64
12.76667,4.59557,6.07233,12.76667,95.24645,96.68
12.78333,4.59694,6.06005,12.78333,95.24438,96.62
12.8,4.5983,6.04714,12.8,95.2423,96.65
12.81667,4.59967,6.03366,12.81667,95.2402,96.57
12.83333,4.60104,6.01969,12.83333,95.23809,96.62
12.85,4.60242,6.0053,12.85,95.23597,96.59
12.86667,4.60381,5.99054,12.86667,95.23383,96.55
12.88333,4.6052,5.97549,12.88333,95.23169,96.54
12.9,4.60659,5.96021,12.9,95.22953,96.55
12.91667,4.60799,5.94478,12.91667,95.22735,96.52
12.93333,4.60939,5.92926,12.93333,95.22517,96.46
12.95,4.6108,5.91372,12.95,95.22297,96.49
12.96667,4.6122,5.89823,12.96667,95.22076,96.46
12.98333,4.61362,5.88285,12.98333,95.21854,96.41
13,4.61504,5.86765,13,95.2163,96.46
13.01667,4.61647,5.85271,13.01667,95.21405,96.43
13.03333,4.61789,5.83809,13.03333,95.21179,96.4
13.05,4.61933,5.82385,13.05,95.20952,96.36
13.06667,4.62076,5.81007,13.06667,95.20723,96.36
13.08333,4.62221,5.79681,13.08333,95.20493,96.36
13.1,4.62365,5.78414,13.1,95.20262,96.36
13.11667,4.62511,5.77214,13.11667,95.2003,96.34
13.13333,4.62657,5.76085,13.13333,95.19796,96.31
13.15,4.62802,5.75037,13.15,95.1956,96.32
13.16667,4.62949,5.74074,13.16667,95.19324,96.3
13.18333,4.63096,5.73205,13.18333,95.19086,96.31
13.2,4.63243,5.72436,13.2,95.18847,96.27
13.21667,4.63392,5.71773,13.21667,95.18606,96.27
13.23333,4.6354,5.71224,13.23333,95.18365,96.24
13.25,4.63688,5.70795,13.25,95.18122,96.27
13.26667,4.63838,5.70493,13.26667,95.17877,96.29
13.28333,4.63988,5.70325,13.28333,95.17631,96.26
13.3,4.64138,5.70298,13.3,95.17384,96.26
13.31667,4.64288,5.70418,13.31667,95.17136,96.2
13.33333,4.6444,5.70692,13.33333,95.16886,96.21
13.35,4.64591,5.71127,13.35,95.16635,96.15
13.36667,4.64743,5.7173,13.36667,95.16383,96.1
13.38333,4.64896,5.71536,13.38333,95.16129,96.07
13.4,4.65049,5.71342,13.4,95.15874,96.07
13.41667,4.65202,5.7115,13.41667,95.15618,96.02
13.43333,4.65356,5.7096,13.43333,95.1536,96.04
13.45,4.6551,5.70771,13.45,95.15101,95.96
13.46667,4.65665,5.70583,13.46667,95.14841,95.96
13.48333,4.6582,5.70396,13.48333,95.14579,95.91
13.5,4.65976,5.70211,13.5,95.14316,95.95
13.51667,4.66132,5.70027,13.51667,95.14052,95.89
13.53333,4.66288,5.69845,13.53333,95.13787,95.85
13.55,4.66446,5.69664,13.55,95.1352,95.82
13.56667,4.66603,5.69484,13.56667,95.13252,95.8
13.58333,4.66761,5.69305,13.58333,95.12982,95.81
13.6,4.6692,5.69128,13.6,95.12711,95.82
13.61667,4.67078,5.68953,13.61667,95.12439,95.77
13.63333,4.67237,5.68778,13.63333,95.12166,95.76
13.65,4.67397,5.68605,13.65,95.11891,95.73
13.66667,4.67557,5.68433,13.66667,95.11615,95.71
13.68333,4.67718,5.68263,13.68333,95.11338,95.73
13.7,4.67879,5.68094,13.7,95.11059,95.76
13.71667,4.68041,5.67926,13.71667,95.10779,95.71
13.73333,4.68203,5.6776,13.73333,95.10498,95.77
13.75,4.68365,5.67595,13.75,95.10216,95.8
13.76667,4.68528,5.67431,13.76667,95.09932,95.68
13.78333,4.68691,5.67269,13.78333,95.09647,95.69
13.8,4.68856,5.67108,13.8,95.09361,95.71
13.81667,4.6902,5.66949,13.81667,95.09073,95.64
13.83333,4.69185,5.66791,13.83333,95.08784,95.62
13.85,4.6935,5.66634,13.85,95.08494,95.66
13.86667,4.69515,5.66478,13.86667,95.08203,95.61
13.88333,4.69682,5.66324,13.88333,95.0791,95.56
13.9,4.69848,5.66171,13.9,95.07616,95.52
13.91667,4.70015,5.6602,13.91667,95.07321,95.55
13.93333,4.70183,5.6587,13.93333,95.07024,95.5
13.95,4.70351,5.65721,13.95,95.06726,95.5
13.96667,4.70519,5.65573,13.96667,95.06427,95.49
13.98333,4.70688,5.65427,13.98333,95.06127,95.46
14,4.70857,5.65283,14,95.05825,95.85
14.01667,4.71027,5.65139,14.01667,95.05522,95.84
14.03333,4.71197,5.64997,14.03333,95.05218,95.84
14.05,4.71368,5.64857,14.05,95.04913,95.82
14.06667,4.71539,5.64717,14.06667,95.04606,95.82
14.08333,4.7171,5.64579,14.08333,95.04298,95.8
14.1,4.71883,5.64443,14.1,95.03988,95.81
14.11667,4.72056,5.64307,14.11667,95.03678,95.74
14.13333,4.72228,5.64173,14.13333,95.03366,95.74
14.15,4.72401,5.64041,14.15,95.03053,95.71
14.16667,4.72576,5.6391,14.16667,95.02738,95.7
14.18333,4.72791,5.6378,14.18333,95.02423,95.68
14.2,4.73008,5.63651,14.2,95.02106,95.64
14.21667,4.73227,5.63524,14.21667,95.01788,95.64
14.23333,4.73446,5.63398,14.23333,95.01468,95.64
14.25,4.73668,5.63274,14.25,95.01148,95.65
14.26667,4.73892,5.6315,14.26667,95.00826,95.56
14.28333,4.74116,5.63029,14.28333,95.00503,95.55
14.3,4.74343,5.62908,14.3,95.00178,95.62
14.31667,4.74571,5.62789,14.31667,94.99853,95.57
14.33333,4.74802,5.62671,14.33333,94.99526,95.59
14.35,4.75033,5.62555,14.35,94.99198,95.55
14.36667,4.75266,5.6244,14.36667,94.98868,95.55
14.38333,4.75502,5.62326,14.38333,94.98538,95.56
14.4,4.75738,5.62214,14.4,94.98206,95.56
14.41667,4.75977,5.62103,14.41667,94.97873,95.56
14.43333,4.76218,5.61993,14.43333,94.97539,95.69
14.45,4.7646,5.61885,14.45,94.97203,95.61
14.46667,4.76704,5.61778,14.46667,94.96867,95.65
14.48333,4.7695,5.61672,14.48333,94.96529,95.66
14.5,4.77198,5.61568,14.5,94.9619,95.7
14.51667,4.77447,5.61465,14.51667,94.95849,95.69
14.53333,4.77698,5.61363,14.53333,94.95508,95.68
14.55,4.77952,5.61263,14.55,94.95165,95.73
14.56667,4.78207,5.61164,14.56667,94.94821,95.74
14.58333,4.78465,5.61067,14.58333,94.94476,95.64
14.6,4.78724,5.6097,14.6,94.9413,95.59
14.61667,4.78985,5.60876,14.61667,94.93782,95.51
14.63333,4.79248,5.60782,14.63333,94.93433,95.52
14.65,4.79513,5.6069,14.65,94.93083,95.49
14.66667,4.7978,5.60599,14.66667,94.92732,95.46
14.68333,4.8005,5.6051,14.68333,94.92379,95.49
14.7,4.8032,5.60422,14.7,94.92025,95.4
14.71667,4.80594,5.60335,14.71667,94.9167,95.41
14.73333,4.80869,5.60249,14.73333,94.91314,95.39
14.75,4.81147,5.60165,14.75,94.90956,95.41
14.76667,4.81426,5.60083,14.76667,94.90598,95.36
14.78333,4.81709,5.60001,14.78333,94.90238,95.34
14.8,4.81992,5.59921,14.8,94.89877,95.14
14.81667,4.82278,5.59843,14.81667,94.89514,95.43
14.83333,4.82461,5.59765,14.83333,94.89151,95.49
14.85,4.82643,5.59689,14.85,94.88786,95.43
14.86667,4.82826,5.59615,14.86667,94.8842,95.46
14.88333,4.83008,5.59541,14.88333,94.88052,95.4
14.9,4.83192,5.5947,14.9,94.87684,95.38
14.91667,4.83375,5.59399,14.91667,94.87314,95.4
14.93333,4.83558,5.5933,14.93333,94.86943,95.39
14.95,4.83741,5.59262,14.95,94.8657,95.36
14.96667,4.83925,5.59195,14.96667,94.86197,95.31
14.98333,4.84108,5.5913,14.98333,94.85822,95.29
15,4.84292,5.59066,15,94.85446,95.26
15.01667,4.84476,5.59004,15.01667,94.85068,95.29
15.03333,4.8466,5.58943,15.03333,94.8469,95.26
15.05,4.84845,5.58883,15.05,94.8431,95.21
15.06667,4.85029,5.58824,15.06667,94.83929,95.19
15.08333,4.85214,5.58767,15.08333,94.83546,95.18
15.1,4.85399,5.58712,15.1,94.83162,95.16
15.11667,4.85584,5.58657,15.11667,94.82778,95.04
15.13333,4.8577,5.58604,15.13333,94.82391,95.09
15.15,4.85955,5.58553,15.15,94.82004,95.04
15.16667,4.86142,5.58502,15.16667,94.81615,95.07
15.18333,4.86328,5.58453,15.18333,94.81225,95.14
15.2,4.86515,5.58405,15.2,94.80834,95.1
15.21667,4.86702,5.58359,15.21667,94.80441,95.07
15.23333,4.86889,5.58314,15.23333,94.80048,95.04
15.25,4.87076,5.58271,15.25,94.79653,95.05
15.26667,4.87264,5.58228,15.26667,94.79257,94.99
15.28333,4.87452,5.58187,15.28333,94.78859,95.06
15.3,4.8764,5.58148,15.3,94.7846,95.04
15.31667,4.87829,5.5811,15.31667,94.7806,95.07
15.33333,4.88018,5.58073,15.33333,94.77659,95.01
15.35,4.88208,5.58037,15.35,94.77257,95.04
15.36667,4.88398,5.58003,15.36667,94.76853,94.96
15.38333,4.88588,5.5797,15.38333,94.76448,94.99
15.4,4.88779,5.57939,15.4,94.76042,94.93
15.41667,4.8897,5.57909,15.41667,94.75635,95.01
15.43333,4.89161,5.5788,15.43333,94.75226,94.96
15.45,4.89353,5.57853,15.45,94.74816,94.94
15.46667,4.89545,5.57827,15.46667,94.74405,94.95
15.48333,4.89738,5.57802,15.48333,94.73993,94.89
15.5,4.8993,5.57778,15.5,94.73579,94.88
15.51667,4.90124,5.57756,15.51667,94.73165,94.9
15.53333,4.90318,5.57736,15.53333,94.72748,94.9
15.55,4.90512,5.57716,15.55,94.72331,94.93
15.56667,4.90707,5.57698,15.56667,94.71913,94.94
15.58333,4.90902,5.57682,15.58333,94.71493,94.91
15.6,4.91098,5.57666,15.6,94.71072,94.94
15.61667,4.91294,5.57653,15.61667,94.70649,94.94
15.63333,4.91491,5.5764,15.63333,94.70226,94.94
15.65,4.91688,5.57629,15.65,94.69801,94.94
15.66667,4.91886,5.57619,15.66667,94.69375,94.96
15.68333,4.92084,5.5761,15.68333,94.68948,94.95
15.7,4.92283,5.57603,15.7,94.68519,94.98
15.71667,4.92482,5.57597,15.71667,94.68089,95.02
15.73333,4.92682,5.57593,15.73333,94.67658,94.94
15.75,4.92883,5.5759,15.75,94.67226,94.99
15.76667,4.93084,5.57588,15.76667,94.66792,95.01
15.78333,4.93285,5.57587,15.78333,94.66357,95.05
15.8,4.93487,5.57588,15.8,94.65921,95.02
15.81667,4.9369,5.5759,15.81667,94.65483,95.04
15.83333,4.93893,5.57594,15.83333,94.65045,95.06
15.85,4.94097,5.57599,15.85,94.64605,95.06
15.86667,4.94302,5.57605,15.86667,94.64163,95.18
15.88333,4.94507,5.57613,15.88333,94.63721,95.11
15.9,4.94712,5.57622,15.9,94.63277,95.18
15.91667,4.94919,5.57632,15.91667,94.62832,95.2
15.93333,4.95126,5.57644,15.93333,94.62386,95.24
15.95,4.95333,5.57657,15.95,94.61938,95.2
15.96667,4.95542,5.57671,15.96667,94.61489,95.2
15.98333,4.95751,5.57687,15.98333,94.61039,95.15
16,4.95961,5.57704,16,94.60588,95.19
16.01667,4.96171,5.57722,16.01667,94.60135,95.21
16.03333,4.96383,5.57742,16.03333,94.59681,95.21
16.05,4.96594,5.57763,16.05,94.59225,95.21
16.06667,4.96807,5.57786,16.06667,94.58769,95.2
16.08333,4.9702,5.5781,16.08333,94.58311,95.24
16.1,4.97234,5.57835,16.1,94.57851,95.24
16.11667,4.97449,5.57861,16.11667,94.5739,95.21
16.13333,4.97664,5.57889,16.13333,94.56928,95.02
16.15,4.9788,5.57918,16.15,94.56464,94.9
16.16667,4.98097,5.57949,16.16667,94.55999,94.89
16.18333,4.98315,5.57981,16.18333,94.55533,94.88
16.2,4.98533,5.58014,16.2,94.55066,94.85
16.21667,4.98753,5.58049,16.21667,94.54597,94.89
16.23333,4.98973,5.58085,16.23333,94.54127,94.8
16.25,4.99194,5.58122,16.25,94.53657,94.82
16.26667,4.99415,5.58161,16.26667,94.53185,94.8
16.28333,4.99638,5.58201,16.28333,94.52711,94.76
16.3,4.99861,5.58242,16.3,94.52237,94.76
16.31667,5.00086,5.58285,16.31667,94.51761,94.71
16.33333,5.0031,5.58329,16.33333,94.51283,94.73
16.35,5.00536,5.58374,16.35,94.50805,94.76
16.36667,5.00763,5.58421,16.36667,94.50325,94.7
16.38333,5.00991,5.58469,16.38333,94.49843,94.69
16.4,5.01219,5.59051,16.4,94.4936,94.65
16.41667,5.01449,5.59524,16.41667,94.48876,94.65
16.43333,5.01679,5.59891,16.43333,94.48391,94.64
16.45,5.0191,5.60158,16.45,94.47904,94.64
16.46667,5.02142,5.60329,16.46667,94.47416,94.61
16.48333,5.02375,5.60408,16.48333,94.46927,94.54
16.5,5.02609,5.604,16.5,94.46436,94.54
16.51667,5.02844,5.6031,16.51667,94.45944,94.59
16.53333,5.0308,5.60142,16.53333,94.4545,94.65
16.55,5.03317,5.59901,16.55,94.44955,94.64
16.56667,5.03554,5.5959,16.56667,94.44459,94.64
16.58333,5.03793,5.59215,16.58333,94.43962,94.61
16.6,5.04033,5.58781,16.6,94.43463,94.64
16.61667,5.04273,5.58291,16.61667,94.42963,94.73
16.63333,5.04515,5.57751,16.63333,94.42462,94.68
16.65,5.04757,5.57164,16.65,94.41959,94.94
16.66667,5.05001,5.56535,16.66667,94.41455,95.02
16.68333,5.05246,5.5587,16.68333,94.4095,95.18
16.7,5.05492,5.55172,16.7,94.40444,95.2
16.71667,5.05739,5.54445,16.71667,94.39936,95.27
16.73333,5.05987,5.53695,16.73333,94.39427,95.34
16.75,5.06235,5.52926,16.75,94.38917,95.34
16.76667,5.06485,5.52143,16.76667,94.38405,95.36
16.78333,5.06736,5.5135,16.78333,94.37892,95.39
16.8,5.0703,5.50551,16.8,94.37378,95.35
16.81667,5.07324,5.49751,16.81667,94.36863,95.41
16.83333,5.07618,5.48955,16.83333,94.36346,95.45
16.85,5.07912,5.48167,16.85,94.35828,95.43
16.86667,5.08207,5.47391,16.86667,94.3531,95.4
16.88333,5.08502,5.46633,16.88333,94.34789,95.44
16.9,5.08797,5.45897,16.9,94.34268,95.41
16.91667,5.09093,5.45187,16.91667,94.33745,95.44
16.93333,5.09389,5.44507,16.93333,94.33222,95.41
16.95,5.09685,5.43863,16.95,94.32697,95.35
16.96667,5.09982,5.43259,16.96667,94.3217,95.36
16.98333,5.10278,5.42699,16.98333,94.31643,95.34
17,5.10576,5.42188,17,94.31114,95.34
17.01667,5.10873,5.41731,17.01667,94.30585,95.35
17.03333,5.11172,5.41331,17.03333,94.30054,95.29
17.05,5.1147,5.40994,17.05,94.29521,95.26
17.06667,5.11769,5.40725,17.06667,94.28988,95.26
17.08333,5.12069,5.40526,17.08333,94.28453,95.23
17.1,5.12369,5.40404,17.1,94.27918,95.26
17.11667,5.1267,5.40362,17.11667,94.27381,95.26
17.13333,5.12907,5.40406,17.13333,94.26842,95.24
17.15,5.13143,5.40539,17.15,94.26303,95.25
17.16667,5.13379,5.40767,17.16667,94.25762,95.24
17.18333,5.13615,5.41093,17.18333,94.2522,95.21
17.2,5.13848,5.41522,17.2,94.24677,95.18
17.21667,5.14082,5.42059,17.21667,94.24133,95.18
17.23333,5.14315,5.42709,17.23333,94.23587,95.14
17.25,5.14547,5.42827,17.25,94.23041,95.18
17.26667,5.14779,5.42947,17.26667,94.22493,95.09
17.28333,5.15009,5.43068,17.28333,94.21944,95.12
17.3,5.15239,5.4319,17.3,94.21394,95.1
17.31667,5.15468,5.43313,17.31667,94.20843,95.11
17.33333,5.15697,5.43438,17.33333,94.2029,95.05
17.35,5.15925,5.43565,17.35,94.19736,95.04
17.36667,5.16152,5.43692,17.36667,94.19182,95.05
17.38333,5.16378,5.43821,17.38333,94.18626,95.05
17.4,5.16604,5.43952,17.4,94.18069,94.99
17.41667,5.16829,5.44083,17.41667,94.1751,94.99
17.43333,5.17054,5.44216,17.43333,94.16951,95.04
17.45,5.17278,5.44351,17.45,94.16391,94.98
17.46667,5.17501,5.44486,17.46667,94.15829,95.01
17.48333,5.17724,5.44624,17.48333,94.15266,94.96
17.5,5.17945,5.44762,17.5,94.14702,94.95
17.51667,5.18167,5.44902,17.51667,94.14137,94.93
17.53333,5.18387,5.45043,17.53333,94.13571,95.01
17.55,5.18608,5.45185,17.55,94.13004,94.9
17.56667,5.18827,5.45329,17.56667,94.12435,94.93
17.58333,5.19046,5.45474,17.58333,94.11865,94.91
17.6,5.19264,5.45621,17.6,94.11295,94.84
17.61667,5.19482,5.45769,17.61667,94.10723,94.85
17.63333,5.19699,5.45918,17.63333,94.1015,94.84
17.65,5.19915,5.46068,17.65,94.09575,94.85
17.66667,5.20132,5.4622,17.66667,94.09,94.81
17.68333,5.20346,5.46374,17.68333,94.08423,94.8
17.7,5.20561,5.46528,17.7,94.07846,94.77
17.71667,5.20776,5.46684,17.71667,94.07267,94.8
17.73333,5.2099,5.46842,17.73333,94.06687,94.76
17.75,5.21203,5.47,17.75,94.06106,94.77
17.76667,5.21415,5.4716,17.76667,94.05524,94.73
17.78333,5.21627,5.47322,17.78333,94.04941,94.73
17.8,5.2184,5.47484,17.8,94.04356,94.7
17.81667,5.22051,5.47648,17.81667,94.03771,94.77
17.83333,5.22262,5.47814,17.83333,94.03184,94.77
17.85,5.22472,5.4798,17.85,94.02596,94.8
17.86667,5.22681,5.48148,17.86667,94.02007,94.75
17.88333,5.2289,5.48318,17.88333,94.01417,94.75
17.9,5.23099,5.48489,17.9,94.00826,94.71
17.91667,5.23307,5.48661,17.91667,94.00234,94.75
17.93333,5.23515,5.48826,17.93333,93.9964,94.48
17.95,5.23723,5.48987,17.95,93.99046,94.45
17.96667,5.2393,5.49144,17.96667,93.9845,94.4
17.98333,5.24136,5.493,17.98333,93.97854,94.38
18,5.24342,5.49455,18,93.97256,94.48
18.01667,5.24548,5.49611,18.01667,93.96657,94.55
18.03333,5.24753,5.49769,18.03333,93.96057,94.52
18.05,5.24958,5.49931,18.05,93.95456,94.54
18.06667,5.25162,5.50097,18.06667,93.94854,94.5
18.08333,5.25366,5.50269,18.08333,93.94251,94.55
18.1,5.2557,5.50448,18.1,93.93647,94.54
18.11667,5.25773,5.50634,18.11667,93.93042,94.51
18.13333,5.25976,5.50829,18.13333,93.92435,94.56
18.15,5.26178,5.51034,18.15,93.91828,94.48
18.16667,5.2638,5.51248,18.16667,93.91219,94.36
18.18333,5.26582,5.51471,18.18333,93.9061,94.3
